time,open,high,low,close,volume,spread
2024.01.01 00:00,1999.78826,1999.95753,1999.50733,1999.55149,100,20.0
2024.01.01 00:15,1999.56379,2000.03091,1998.78550,1998.79536,100,20.0
2024.01.01 00:30,1998.75737,1999.28825,1998.61992,1999.11790,100,20.0
2024.01.01 00:45,1998.34562,1998.48273,1997.29360,1998.02964,100,20.0
2024.01.01 01:00,1999.30661,1999.50121,1998.42978,1998.52632,100,20.0
2024.01.01 01:15,1998.19909,1998.50478,1997.48186,1997.85698,100,20.0
2024.01.01 01:30,1997.15513,1998.59836,1997.05363,1997.81475,100,20.0
2024.01.01 01:45,1996.78335,1997.38391,1995.94009,1996.13702,100,20.0
2024.01.01 02:00,1996.73046,1997.55447,1996.63419,1996.78422,100,20.0
2024.01.01 02:15,1996.40523,1996.52563,1996.33740,1996.43452,100,20.0
2024.01.01 02:30,1995.79369,1995.87609,1994.95678,1995.69992,100,20.0
2024.01.01 02:45,1995.94343,1997.77445,1995.39124,1997.35523,100,20.0
2024.01.01 03:00,1996.81680,1998.09612,1996.59014,1997.35519,100,20.0
2024.01.01 03:15,1996.86312,1997.86629,1996.69173,1997.44842,100,20.0
2024.01.01 03:30,1998.84060,1998.97068,1998.76855,1998.78105,100,20.0
2024.01.01 03:45,1998.56682,1998.77132,1998.50067,1998.61248,100,20.0
2024.01.01 04:00,2000.00694,2000.45731,1999.70709,1999.74109,100,20.0
2024.01.01 04:15,1999.80476,2000.16798,1999.59329,1999.96375,100,20.0
2024.01.01 04:30,2000.34562,2000.59339,2000.27946,2000.47486,100,20.0
2024.01.01 04:45,1999.69550,2000.23343,1999.36456,2000.04298,100,20.0
2024.01.01 05:00,2000.22289,2000.66316,1999.50775,1999.77815,100,20.0
2024.01.01 05:15,1999.56016,2000.32495,1999.52635,1999.69181,100,20.0
2024.01.01 05:30,2000.19282,2001.16853,1999.25882,2000.86647,100,20.0
2024.01.01 05:45,1999.98161,2000.33437,1999.80394,2000.18932,100,20.0
2024.01.01 06:00,2000.57279,2001.08601,1998.90655,1999.55414,100,20.0
2024.01.01 06:15,1999.62414,2000.63022,1999.60207,1999.98614,100,20.0
2024.01.01 06:30,2000.41536,2000.81245,1999.95841,2000.14752,100,20.0
2024.01.01 06:45,2000.25255,2001.88327,1999.62708,2001.63796,100,20.0
2024.01.01 07:00,2000.55147,2001.24581,2000.21127,2000.98000,100,20.0
2024.01.01 07:15,2000.98194,2001.56163,2000.29578,2001.29958,100,20.0
2024.01.01 07:30,2000.92948,2001.26009,2000.22636,2000.37498,100,20.0
2024.01.01 07:45,1998.93266,1999.48732,1998.48325,1999.35869,100,20.0
2024.01.01 08:00,1999.86982,2000.00332,1999.24740,1999.38366,100,20.0
2024.01.01 08:15,1999.19310,1999.31074,1997.55769,1998.40640,100,20.0
2024.01.01 08:30,1997.78928,1998.22448,1997.60843,1998.01650,100,20.0
2024.01.01 08:45,1997.67214,1997.95957,1997.01894,1997.11472,100,20.0
2024.01.01 09:00,1996.85172,1997.05864,1996.45618,1996.69325,100,20.0
2024.01.01 09:15,1996.52928,1996.80907,1996.18316,1996.75759,100,20.0
2024.01.01 09:30,1997.20125,1997.55575,1997.05924,1997.25494,100,20.0
2024.01.01 09:45,1998.02878,1998.22226,1997.03488,1997.75112,100,20.0
2024.01.01 10:00,1998.45304,1998.90177,1997.88962,1998.37659,100,20.0
2024.01.01 10:15,1997.74136,1997.98386,1997.25289,1997.67023,100,20.0
2024.01.01 10:30,1996.73476,1996.88848,1995.60538,1995.98375,100,20.0
2024.01.01 10:45,1996.47527,1996.92339,1996.26817,1996.51155,100,20.0
2024.01.01 11:00,1995.90438,1996.67222,1995.76705,1996.55617,100,20.0
2024.01.01 11:15,1996.01473,1996.43719,1995.76500,1995.79541,100,20.0
2024.01.01 11:30,1995.38642,1995.57777,1995.10719,1995.16825,100,20.0
2024.01.01 11:45,1994.87645,1995.67080,1994.68788,1995.65306,100,20.0
2024.01.01 12:00,1995.60884,1996.20105,1995.10724,1995.30395,100,20.0
2024.01.01 12:15,1995.21371,1995.46011,1995.11268,1995.40778,100,20.0
2024.01.01 12:30,1996.38257,1997.43417,1996.11830,1997.19150,100,20.0
2024.01.01 12:45,1997.49386,1997.90927,1997.19725,1997.52344,100,20.0
2024.01.01 13:00,1996.64759,1996.88051,1995.99563,1996.39380,100,20.0
2024.01.01 13:15,1996.38357,1996.64770,1995.54167,1995.89499,100,20.0
2024.01.01 13:30,1996.66952,1996.86066,1996.39527,1996.54900,100,20.0
2024.01.01 13:45,1996.14177,1996.37609,1995.55818,1995.58782,100,20.0
2024.01.01 14:00,1995.84009,1996.56364,1995.62188,1996.45121,100,20.0
2024.01.01 14:15,1996.27095,1996.45348,1996.10338,1996.36918,100,20.0
2024.01.01 14:30,1995.50880,1996.43665,1994.62221,1995.93324,100,20.0
2024.01.01 14:45,1996.22160,1997.51036,1995.65823,1996.93577,100,20.0
2024.01.01 15:00,1996.04129,1996.90545,1995.29561,1995.77197,100,20.0
2024.01.01 15:15,1995.34922,1995.83522,1994.98111,1995.80277,100,20.0
2024.01.01 15:30,1995.70374,1996.08833,1994.92664,1995.39114,100,20.0
2024.01.01 15:45,1994.84924,1995.93389,1994.74891,1995.22084,100,20.0
2024.01.01 16:00,1995.92719,1996.32997,1995.59756,1995.88246,100,20.0
2024.01.01 16:15,1995.35676,1995.41991,1994.27408,1994.65881,100,20.0
2024.01.01 16:30,1994.41108,1994.99918,1994.06228,1994.79401,100,20.0
2024.01.01 16:45,1993.92093,1993.92220,1993.65799,1993.73691,100,20.0
2024.01.01 17:00,1994.56470,1994.87601,1994.02905,1994.54572,100,20.0
2024.01.01 17:15,1995.01808,1995.30431,1994.83801,1994.88544,100,20.0
2024.01.01 17:30,1994.64874,1995.16336,1994.22078,1994.99016,100,20.0
2024.01.01 17:45,1995.93657,1996.67444,1995.92939,1996.62199,100,20.0
2024.01.01 18:00,1996.96366,1997.20095,1996.83055,1996.94420,100,20.0
2024.01.01 18:15,1997.42951,1998.21154,1997.12998,1997.75000,100,20.0
2024.01.01 18:30,1997.26758,1997.67444,1997.07382,1997.42132,100,20.0
2024.01.01 18:45,1997.17800,1997.81305,1996.26815,1996.39182,100,20.0
2024.01.01 19:00,1995.73463,1996.52125,1994.95938,1995.94009,100,20.0
2024.01.01 19:15,1995.87141,1996.12213,1994.55738,1994.88744,100,20.0
2024.01.01 19:30,1995.52289,1996.16648,1995.25056,1996.00318,100,20.0
2024.01.01 19:45,1995.54546,1996.27679,1995.39278,1996.17177,100,20.0
2024.01.01 20:00,1997.18959,1998.11083,1996.55044,1996.68705,100,20.0
2024.01.01 20:15,1996.41442,1997.12628,1995.33209,1997.11238,100,20.0
2024.01.01 20:30,1997.11545,1997.25179,1996.33785,1997.06432,100,20.0
2024.01.01 20:45,1997.75639,1997.82904,1996.22171,1996.75704,100,20.0
2024.01.01 21:00,1997.29193,1997.90830,1996.74531,1996.77561,100,20.0
2024.01.01 21:15,1996.73379,1996.84038,1996.08472,1996.51569,100,20.0
2024.01.01 21:30,1996.55384,1996.92219,1996.49988,1996.71157,100,20.0
2024.01.01 21:45,1995.81454,1996.05869,1995.68298,1995.83529,100,20.0
2024.01.01 22:00,1995.59101,1995.70177,1995.43581,1995.48330,100,20.0
2024.01.01 22:15,1995.65062,1995.88822,1994.77848,1995.20696,100,20.0
2024.01.01 22:30,1994.36257,1994.44611,1994.15194,1994.33000,100,20.0
2024.01.01 22:45,1994.43076,1995.00710,1994.24522,1994.33164,100,20.0
2024.01.01 23:00,1992.95214,1994.25437,1992.76123,1993.73781,100,20.0
2024.01.01 23:15,1994.32895,1994.33203,1993.96972,1994.25132,100,20.0
2024.01.01 23:30,1993.97480,1994.75539,1993.86407,1994.02773,100,20.0
2024.01.01 23:45,1994.25806,1994.31834,1993.58573,1993.69909,100,20.0
2024.01.02 00:00,1993.64052,1994.51086,1993.52133,1994.23528,100,20.0
2024.01.02 00:15,1994.33186,1994.93281,1994.06744,1994.92715,100,20.0
2024.01.02 00:30,1995.18063,1995.41528,1995.01257,1995.26116,100,20.0
2024.01.02 00:45,1995.88119,1996.19092,1995.79647,1996.00642,100,20.0
2024.01.02 01:00,1996.56944,1996.84919,1996.18721,1996.22975,100,20.0
2024.01.02 01:15,1996.58441,1996.91977,1996.48155,1996.62375,100,20.0
2024.01.02 01:30,1996.25817,1996.28408,1995.74358,1996.13912,100,20.0
2024.01.02 01:45,1996.01503,1996.24770,1995.62747,1995.63493,100,20.0
2024.01.02 02:00,1994.61985,1995.62838,1993.60912,1995.18759,100,20.0
2024.01.02 02:15,1996.42355,1996.65604,1995.52794,1996.16706,100,20.0
2024.01.02 02:30,1996.76258,1997.70601,1996.67100,1997.60865,100,20.0
2024.01.02 02:45,1997.82958,1998.16248,1997.42790,1997.84239,100,20.0
2024.01.02 03:00,1996.88435,1997.19028,1996.41403,1996.46058,100,20.0
2024.01.02 03:15,1995.71588,1995.90228,1994.91854,1995.21825,100,20.0
2024.01.02 03:30,1993.84480,1994.45570,1993.72290,1994.20555,100,20.0
2024.01.02 03:45,1995.00824,1996.23502,1994.51402,1995.59265,100,20.0
2024.01.02 04:00,1995.66793,1995.77754,1995.17719,1995.46773,100,20.0
2024.01.02 04:15,1995.71245,1995.82758,1994.62539,1995.54962,100,20.0
2024.01.02 04:30,1995.84665,1996.75815,1995.77881,1996.22387,100,20.0
2024.01.02 04:45,1996.92157,1997.86660,1996.23934,1997.49328,100,20.0
2024.01.02 05:00,1996.88914,1997.76615,1996.65359,1997.28051,100,20.0
2024.01.02 05:15,1996.66456,1997.24721,1996.59042,1996.69875,100,20.0
2024.01.02 05:30,1996.84321,1997.50002,1996.58112,1996.67041,100,20.0
2024.01.02 05:45,1997.27407,1997.60383,1996.47518,1996.73982,100,20.0
2024.01.02 06:00,1995.78725,1996.57115,1995.78453,1996.51790,100,20.0
2024.01.02 06:15,1996.68576,1997.18573,1996.44138,1996.55335,100,20.0
